n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
174,134.667,-0.012,35.10474516666667,-117.7959275,20.238,927.638,0,0,0,
175,135.732,0.327,35.104754666666665,-117.79594766666666,20.418,927.75,0,0,0,
176,136.392,-0.107,-1,-1,20.483,927.652,0,0,0,
177,137.055,-0.496,35.104754666666665,-117.79594766666666,20.555,927.693,0,0,0,
178,137.723,-0.21,-1,-1,20.505,927.738,0,0,0,
179,138.386,0.033,-1,-1,20.465,927.689,0,0,0,
180,139.453,0.482,-1,-1,20.52,927.772,0,0,0,
181,140.115,-0.623,-1,-1,20.56,927.607,0,0,0,
182,140.776,-1.097,35.104754666666665,-117.79594766666666,20.588,927.802,0,0,0,
183,141.44,-1.271,35.10477016666667,-117.79595166666667,20.585,927.836,0,0,0,
184,142.104,-1.477,-1,-1,20.585,927.845,0,0,0,
185,143.167,-0.81,35.10477016666667,-117.79595166666667,20.55,927.738,0,0,0,
186,143.828,-0.39,-1,-1,20.605,927.764,0,0,0,
187,144.492,-1.289,-1,-1,20.608,927.843,0,0,0,
188,145.157,-1.242,-1,-1,20.63,927.814,0,0,0,
189,145.821,-1.074,-1,-1,20.618,927.808,0,0,0,
190,146.883,-1.951,35.10477016666667,-117.79595166666667,20.583,927.829,0,0,0,
191,147.547,-1.367,35.104778833333334,-117.79595916666666,20.65,927.75,0,0,0,
192,148.207,-1.314,-1,-1,20.667,927.822,0,0,0,
193,148.869,-1.287,35.104778833333334,-117.79595916666666,20.685,927.832,0,0,0,
194,149.53,-1.459,-1,-1,20.68,927.865,0,0,0,
195,150.591,-1.572,-1,-1,20.615,927.827,0,0,0,
196,151.252,-1.576,-1,-1,20.707,927.853,0,0,0,
197,151.913,-1.646,-1,-1,20.72,927.868,0,0,0,
198,152.574,-1.695,35.104778833333334,-117.79595916666666,20.722,927.887,0,0,0,
199,153.235,-1.477,35.104772833333335,-117.79596566666666,20.722,927.871,0,0,0,
200,154.296,-1.706,-1,-1,20.68,927.875,0,0,0,
201,154.957,-1.578,35.104772833333335,-117.79596566666666,20.75,927.779,0,0,0,
202,155.618,-1.445,-1,-1,20.755,927.848,0,0,0,
203,156.281,-1.711,-1,-1,20.742,927.809,0,0,0,
